StartSample,EndSample,StartTimeFromEpochSeconds,StartTimeRelativeToStimulusSeconds,MeanAbsoluteDifferenceHz,GroupAMeanAbsoluteDifferenceHz,GroupBMeanAbsoluteDifferenceHz,RootMeanSquaredDifferenceHz,MaximumAbsoluteDifferenceHz,MatchingPercentage
107,1356,0.424,-0.076,0.172523809523809,0.0493333333333333,0.240962962962963,0.373184632375544,1.94,53.5714285714286
147,1396,0.584,0.084,0.172702380952381,0.0318333333333333,0.250962962962963,0.367322065767903,1.94,56.25
108,1357,0.428,-0.072,0.172821428571428,0.0493333333333333,0.241425925925926,0.37345834429108,1.94,53.5714285714286
119,1368,0.472,-0.028,0.173178571428571,0.0478333333333334,0.242814814814815,0.372013109941375,1.94,54.4642857142857
151,1400,0.6,0.1,0.174488095238095,0.0426666666666666,0.247722222222222,0.368616170226403,1.94,54.4642857142857
152,1401,0.604,0.104,0.175083333333333,0.0426666666666666,0.248648148148148,0.368734569222472,1.94,53.5714285714286
117,1366,0.464,-0.036,0.175261904761905,0.042,0.249296296296296,0.38125589248634,1.94,55.3571428571429
161,1410,0.64,0.14,0.175678571428571,0.0421666666666666,0.249851851851852,0.370353359794549,1.94,55.3571428571429
160,1409,0.636,0.136,0.176690476190476,0.0421666666666666,0.251425925925926,0.370671987371884,1.94,55.3571428571429
162,1411,0.644,0.144,0.17675,0.0451666666666666,0.249851851851852,0.370546175602944,1.94,54.4642857142857
163,1412,0.648,0.148,0.177047619047619,0.0451666666666666,0.250314814814815,0.371206879811039,1.94,54.4642857142857
156,1405,0.62,0.12,0.177285714285714,0.0413333333333333,0.252814814814815,0.373128802392154,1.94,55.3571428571429
157,1406,0.624,0.124,0.177285714285714,0.0413333333333333,0.252814814814815,0.373128802392154,1.94,55.3571428571429
158,1407,0.628,0.128,0.177285714285714,0.0413333333333333,0.252814814814815,0.373128802392154,1.94,55.3571428571429
115,1364,0.456,-0.044,0.177642857142857,0.042,0.253,0.382108425981879,1.94,54.4642857142857
116,1365,0.46,-0.04,0.177642857142857,0.042,0.253,0.382108425981879,1.94,54.4642857142857
164,1413,0.652,0.152,0.177702380952381,0.0428333333333333,0.252629629629629,0.371428634004878,1.94,54.4642857142857
155,1404,0.616,0.116,0.177761904761905,0.0426666666666666,0.252814814814815,0.37317134027997,1.94,54.4642857142857
165,1414,0.656,0.156,0.178,0.0428333333333333,0.253092592592592,0.372290347947141,1.94,54.4642857142857
114,1363,0.452,-0.048,0.179428571428571,0.047,0.253,0.382575472375703,1.94,53.5714285714286
159,1408,0.632,0.132,0.179964285714286,0.0413333333333333,0.256981481481481,0.375130802584404,1.94,55.3571428571429
106,1355,0.42,-0.08,0.180261904761905,0.066,0.243740740740741,0.383531139440639,1.94,53.5714285714286
113,1362,0.448,-0.052,0.180619047619047,0.047,0.254851851851852,0.383621661751626,1.94,53.5714285714286
104,1353,0.412,-0.088,0.181452380952381,0.066,0.245592592592593,0.382925383340344,1.94,53.5714285714286
105,1354,0.416,-0.084,0.181452380952381,0.066,0.245592592592593,0.382925383340344,1.94,53.5714285714286
112,1361,0.444,-0.056,0.182107142857143,0.0536666666666667,0.253462962962963,0.38409978242267,1.94,53.5714285714286
103,1352,0.408,-0.092,0.185619047619048,0.066,0.252074074074074,0.384961480241649,1.94,52.6785714285714
166,1415,0.66,0.16,0.185678571428571,0.0468333333333333,0.262814814814815,0.392108292055157,1.94,53.5714285714286
167,1416,0.664,0.164,0.185678571428571,0.0468333333333333,0.262814814814815,0.392108292055157,1.94,53.5714285714286
177,1426,0.704,0.204,0.185857142857143,0.0443333333333333,0.264481481481481,0.386353146704222,1.77,54.4642857142857
172,1421,0.684,0.184,0.186273809523809,0.0451666666666666,0.264666666666667,0.394388848082782,1.94,53.5714285714286
91,1340,0.36,-0.14,0.186452380952381,0.0626666666666666,0.255222222222222,0.399196743076067,1.94,52.6785714285714
